FILTER ID: ,490FS10-25,,,550FS10-25,,,680FS10-25,,,720FS10-25,,,800FS20-25,,,900FS20-25,
,,,,,,,,,,,,,,,,,
,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance
,490.6,63.2324,,,,,680.6,67.8355,,720.6,58.1416,,801.0001,58.7958,,911.5,5.0143
,490.7,63.2699,,,,,680.7,68.0165,,720.7,58.04,,801.2,58.9864,,911.75,4.4063
,490.8,63.2905,,,,,680.8,68.1725,,720.8,57.9202,,801.4,59.1645,,912,3.868
,490.9,63.2947,,,,,680.9,68.3071,,720.9,57.7823,,801.6,59.33,,912.25,3.3929
,491,63.2831,,,,,681,68.4233,,721,57.6267,,801.8,59.483,,912.5,2.9772
,491.1,63.2557,,,,,681.1,68.5238,,721.1,57.4542,,802.0001,59.6244,,912.75,2.6189
,491.2,63.2122,,,,,681.2,68.6108,,721.2,57.266,,802.2,59.7554,,913,2.3166
,491.3,63.1524,,,,,681.3,68.6864,,721.3,57.0635,,802.4,59.8775,,913.25,2.0684
,491.4,63.0759,,,,,681.4,68.7522,,721.4,56.8483,,802.6,59.9927,,913.5,1.8712
,491.5,62.9822,,,,,681.5,68.8098,,721.5,56.6223,,802.8,60.1029,,913.75,1.72
,491.6,62.8711,,,,,681.6,68.8605,,721.6,56.3872,,803.0001,60.2098,,914,1.6082
,491.7,62.7421,,,,,681.7,68.9052,,721.7,56.1451,,803.2,60.3152,,914.25,1.5274
,491.8,62.5952,,,,,681.8,68.9447,,721.8,55.8979,,803.4,60.4197,,914.5,1.468
,491.9,62.4303,,,,,681.9,68.9796,,721.9,55.6475,,803.6,60.5238,,914.75,1.4202
,492,62.2478,,,,,682,69.0101,,722,55.3959,,803.8,60.6269,,915,1.3746
,492.1,62.048,,,,,682.1,69.0366,,722.1,55.1452,,804.0001,60.7277,,915.25,1.3231
,492.2,61.8315,,,,,682.2,69.0589,,722.2,54.8973,,804.2,60.8243,,915.5,1.2596
,492.3,61.5993,,,,,682.3,69.0772,,722.3,54.6542,,804.4,60.9142,,915.75,1.1803
